latitude,longitude,burn_count
17.9977,98.1993,3
17.9977,98.2083,3
17.9977,98.2173,1
17.9977,98.2263,3
17.9977,98.2353,5
17.9977,98.2443,6
17.9977,98.2532,7
17.9977,98.2622,7
17.9977,98.2712,6
17.9977,98.2802,3
17.9977,98.2892,1
17.9977,98.2981,2
17.9977,98.3071,2
17.9977,98.3161,2
17.9977,98.3251,1
17.9977,98.3341,2
17.9977,98.3431,1
17.9977,98.352,1
17.9977,98.388,2
17.9977,98.397,2
17.9977,98.4059,2
17.9977,98.4149,3
17.9977,98.4239,1
17.9977,98.4329,1
17.9977,98.4419,1
17.9977,98.4958,1
17.9977,98.5048,2
17.9977,98.5137,4
17.9977,98.5227,4
17.9977,98.5317,4
17.9977,98.5407,3
17.9977,98.5497,3
17.9977,98.5587,1
17.9977,98.5676,4
17.9977,98.5766,4
17.9977,98.5856,4
17.9977,98.5946,4
17.9977,98.6036,3
17.9977,98.6126,3
17.9977,98.6485,1
17.9977,98.6575,2
17.9977,98.6665,2
17.9977,98.6754,2
17.9977,98.6844,1
17.9977,98.6934,3
17.9977,98.7024,3
17.9977,98.7114,4
17.9977,98.7204,7
17.9977,98.7293,8
17.9977,98.7383,6
17.9977,98.7473,5
17.9977,98.7563,4
17.9977,98.7653,4
17.9977,98.7743,1
17.9977,98.7832,1
17.9977,98.7922,1
17.9977,98.8012,1
17.9977,98.8102,3
17.9977,98.8192,4
17.9977,98.8282,3
17.9977,98.8371,5
17.9977,98.8461,4
17.9977,98.8551,4
17.9977,98.8641,1
17.9977,98.8731,1
17.9977,98.891,2
17.9977,98.9,4
17.9977,98.909,4
17.9977,98.918,4
17.9977,98.927,4
17.9977,98.936,5
17.9977,98.9449,3
17.9977,98.9539,3
17.9977,98.9629,2
17.9977,98.9719,2
17.9977,98.9809,2
17.9977,98.9899,1
17.9977,98.9988,1
17.9977,99.0078,1
17.9977,99.0168,1
17.9977,99.0348,1
17.9977,99.0438,3
17.9977,99.0527,3
17.9977,99.0617,3
17.9977,99.0707,3
17.9977,99.0797,4
17.9977,99.0887,6
17.9977,99.0977,5
17.9977,99.1066,5
17.9977,99.1156,1
17.9977,99.1246,1
17.9977,99.1336,2
17.9977,99.1426,1
17.9977,99.1515,1
17.9977,99.1695,2
17.9977,99.1785,2
17.9977,99.1875,1
17.9977,99.2054,1
17.9977,99.2144,1
17.9977,99.2234,2
17.9977,99.2324,2
17.9977,99.2414,1
17.9977,99.2504,2
17.9977,99.2593,1
17.9977,99.2683,2
17.9977,99.2773,3
17.9977,99.2863,3
17.9977,99.2953,2
17.9977,99.3043,3
17.9977,99.3132,3
17.9977,99.3222,3
17.9977,99.3312,2
17.9977,99.3402,2
17.9977,99.3582,3
17.9977,99.3671,3
17.9977,99.3761,3
17.9977,99.3851,1
17.9977,99.3941,1
17.9977,99.4031,3
17.9977,99.4121,3
17.9977,99.421,2
17.9977,99.4929,1
17.9977,99.5019,2
18.0067,98.1993,1
18.0067,98.2083,2
18.0067,98.2173,4
18.0067,98.2263,4
18.0067,98.2353,4
18.0067,98.2443,5
18.0067,98.2532,5
18.0067,98.2622,6
18.0067,98.2712,5
18.0067,98.2802,5
18.0067,98.2892,3
18.0067,98.2981,3
18.0067,98.3071,3
18.0067,98.3161,2
18.0067,98.3251,2
18.0067,98.3341,2
18.0067,98.3431,1
18.0067,98.352,1
18.0067,98.361,1
18.0067,98.4149,1
18.0067,98.4239,2
18.0067,98.4329,2
18.0067,98.4419,1
18.0067,98.4598,1
18.0067,98.4688,1
18.0067,98.4778,2
18.0067,98.4868,1
18.0067,98.4958,1
18.0067,98.5048,1
18.0067,98.5137,2
18.0067,98.5227,3
18.0067,98.5317,3
18.0067,98.5407,2
18.0067,98.5497,2
18.0067,98.5587,3
18.0067,98.5676,2
18.0067,98.5766,4
18.0067,98.5856,3
18.0067,98.5946,2
18.0067,98.6036,2
18.0067,98.6126,2
18.0067,98.6215,1
18.0067,98.6485,1
18.0067,98.6575,2
18.0067,98.6665,2
18.0067,98.6754,3
18.0067,98.6844,2
18.0067,98.6934,4
18.0067,98.7024,4
18.0067,98.7114,4
18.0067,98.7204,6
18.0067,98.7293,6
18.0067,98.7383,5
18.0067,98.7473,4
18.0067,98.7563,3
18.0067,98.7653,3
18.0067,98.7743,1
18.0067,98.8192,1
18.0067,98.8282,2
18.0067,98.8371,3
18.0067,98.8461,5
18.0067,98.8551,4
18.0067,98.8641,4
18.0067,98.8731,2
18.0067,98.8821,1
18.0067,98.9,2
18.0067,98.909,5
18.0067,98.918,6
18.0067,98.927,6
18.0067,98.936,5
18.0067,98.9449,5
18.0067,98.9539,2
18.0067,98.9629,2
18.0067,98.9719,2
18.0067,98.9809,2
18.0067,98.9899,2
18.0067,99.0078,1
18.0067,99.0168,1
18.0067,99.0348,1
18.0067,99.0438,3
18.0067,99.0527,4
18.0067,99.0617,4
18.0067,99.0707,5
18.0067,99.0797,5
18.0067,99.0887,6
18.0067,99.0977,5
18.0067,99.1066,5
18.0067,99.1156,1
18.0067,99.1426,1
18.0067,99.1515,1
18.0067,99.1605,1
18.0067,99.2324,1
18.0067,99.2414,2
18.0067,99.2504,1
18.0067,99.2593,2
18.0067,99.2683,2
18.0067,99.2773,2
18.0067,99.2863,3
18.0067,99.2953,2
18.0067,99.3043,3
18.0067,99.3132,3
18.0067,99.3222,3
18.0067,99.3312,3
18.0067,99.3402,3
18.0067,99.3492,3
18.0067,99.3582,2
18.0067,99.3671,2
18.0067,99.3761,2
18.0067,99.3851,1
18.0067,99.4031,1
18.0067,99.4121,1
18.0067,99.421,1
18.0067,99.439,2
18.0067,99.448,2
18.0067,99.457,1
18.0067,99.5019,2
18.0157,98.1993,1
18.0157,98.2083,2
18.0157,98.2173,3
18.0157,98.2263,3
18.0157,98.2353,6
18.0157,98.2443,6
18.0157,98.2532,6
18.0157,98.2622,6
18.0157,98.2712,5
18.0157,98.2802,5
18.0157,98.2892,3
18.0157,98.2981,2
18.0157,98.3071,2
18.0157,98.3161,3
18.0157,98.3251,2
18.0157,98.3341,2
18.0157,98.3431,2
18.0157,98.352,1
18.0157,98.361,1
18.0157,98.37,1
18.0157,98.4149,1
18.0157,98.4239,1
18.0157,98.4329,2
18.0157,98.4419,1
18.0157,98.4509,1
18.0157,98.4688,1
18.0157,98.4778,1
18.0157,98.4868,4
18.0157,98.4958,4
18.0157,98.5048,3
18.0157,98.5137,4
18.0157,98.5227,4
18.0157,98.5317,3
18.0157,98.5407,3
18.0157,98.5497,3
18.0157,98.5587,3
18.0157,98.5676,2
18.0157,98.5766,2
18.0157,98.5856,2
18.0157,98.5946,2
18.0157,98.6036,2
18.0157,98.6126,2
18.0157,98.6575,1
18.0157,98.6665,2
18.0157,98.6754,2
18.0157,98.6844,3
18.0157,98.6934,2
18.0157,98.7024,5
18.0157,98.7114,4
18.0157,98.7204,4
18.0157,98.7293,4
18.0157,98.7383,4
18.0157,98.7473,4
18.0157,98.7563,4
18.0157,98.7653,2
18.0157,98.7743,1
18.0157,98.7832,1
18.0157,98.7922,1
18.0157,98.8012,1
18.0157,98.8102,2
18.0157,98.8192,2
18.0157,98.8282,2
18.0157,98.8371,2
18.0157,98.8461,2
18.0157,98.8551,3
18.0157,98.8641,3
18.0157,98.8731,1
18.0157,98.9,3
18.0157,98.909,4
18.0157,98.918,5
18.0157,98.927,5
18.0157,98.936,4
18.0157,98.9449,4
18.0157,98.9539,3
18.0157,98.9629,3
18.0157,98.9719,2
18.0157,98.9809,2
18.0157,98.9899,1
18.0157,98.9988,1
18.0157,99.0078,1
18.0157,99.0438,2
18.0157,99.0527,5
18.0157,99.0617,6
18.0157,99.0707,5
18.0157,99.0797,5
18.0157,99.0887,5
18.0157,99.0977,3
18.0157,99.1066,2
18.0157,99.1156,1
18.0157,99.1515,2
18.0157,99.1605,2
18.0157,99.1695,3
18.0157,99.1785,2
18.0157,99.1875,1
18.0157,99.2414,1
18.0157,99.2504,1
18.0157,99.2593,2
18.0157,99.2683,2
18.0157,99.2773,2
18.0157,99.2863,3
18.0157,99.2953,1
18.0157,99.3043,2
18.0157,99.3132,3
18.0157,99.3222,3
18.0157,99.3312,2
18.0157,99.3402,2
18.0157,99.3492,2
18.0157,99.3582,3
18.0157,99.3671,2
18.0157,99.3761,2
18.0157,99.3851,2
18.0157,99.439,1
18.0157,99.448,3
18.0157,99.457,3
18.0157,99.466,1
18.0247,98.1993,2
18.0247,98.2083,2
18.0247,98.2173,2
18.0247,98.2263,3
18.0247,98.2353,3
18.0247,98.2443,5
18.0247,98.2532,6
18.0247,98.2622,6
18.0247,98.2712,7
18.0247,98.2802,6
18.0247,98.2892,5
18.0247,98.2981,3
18.0247,98.3071,2
18.0247,98.3161,1
