latitude,longitude,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025
20.001,98.1993,0.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0
20.001,98.2083,0.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,1.0,,1.0,1.0
20.001,98.2173,0.0,,,,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,,1.0,1.0
20.001,98.2263,0.0,,,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0
20.001,98.2353,0.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0
20.001,98.2443,0.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,
20.001,98.2532,0.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,
20.001,98.2622,0.0,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,
20.001,98.2712,0.0,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,
20.001,98.2802,0.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,
20.001,98.2892,0.0,,,1.0,,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,
20.001,98.2981,0.0,,,,,1.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,1.0
20.001,98.3071,0.0,,1.0,,,1.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0
20.001,98.3161,0.0,1.0,1.0,,,1.0,,1.0,,,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0
20.001,98.3251,0.0,1.0,,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0
20.001,98.3341,0.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,
20.001,98.3431,0.0,1.0,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,
20.001,98.352,0.0,1.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0
20.001,98.361,0.0,,,,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0
20.001,98.37,0.0,,,,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0
20.001,98.379,0.0,1.0,,,1.0,,1.0,1.0,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0
20.001,98.388,0.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0
20.001,98.397,0.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0
20.001,98.4059,0.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0
20.001,98.4149,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
