latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
19.26322,99.45033,330.59,0.68,0.74,2026-04-07,542,N20,VIIRS,n,2.0NRT,295.16,7.91,D,2026-04-07 05:42:00
20.35025,99.42187,339.66,0.65,0.73,2026-04-07,544,N20,VIIRS,n,2.0NRT,294.29,11.44,D,2026-04-07 05:44:00
20.35267,99.43206,327.53,0.65,0.73,2026-04-07,544,N20,VIIRS,n,2.0NRT,293.62,8.19,D,2026-04-07 05:44:00
17.51243,97.53262,346.05,0.36,0.57,2026-04-07,722,N20,VIIRS,n,2.0NRT,292.67,25.38,D,2026-04-07 07:22:00
17.53514,97.70211,367.0,0.37,0.58,2026-04-07,722,N20,VIIRS,h,2.0NRT,299.31,12.08,D,2026-04-07 07:22:00
17.53525,99.22238,334.02,0.46,0.64,2026-04-07,722,N20,VIIRS,n,2.0NRT,302.07,4.11,D,2026-04-07 07:22:00
17.53674,97.70216,367.0,0.37,0.58,2026-04-07,722,N20,VIIRS,h,2.0NRT,299.33,11.63,D,2026-04-07 07:22:00
17.57476,97.76991,332.62,0.37,0.58,2026-04-07,722,N20,VIIRS,n,2.0NRT,294.09,1.93,D,2026-04-07 07:22:00
17.59734,98.36535,351.42,0.41,0.61,2026-04-07,722,N20,VIIRS,n,2.0NRT,303.97,7.08,D,2026-04-07 07:22:00
17.59774,98.36937,349.4,0.41,0.61,2026-04-07,722,N20,VIIRS,n,2.0NRT,301.94,7.08,D,2026-04-07 07:22:00
17.59821,98.36465,336.64,0.41,0.61,2026-04-07,722,N20,VIIRS,n,2.0NRT,303.24,6.65,D,2026-04-07 07:22:00
17.59865,98.36874,367.0,0.41,0.61,2026-04-07,722,N20,VIIRS,h,2.0NRT,302.57,6.65,D,2026-04-07 07:22:00
17.62843,98.70181,330.99,0.43,0.62,2026-04-07,722,N20,VIIRS,n,2.0NRT,299.87,3.33,D,2026-04-07 07:22:00
17.64614,98.70557,330.16,0.43,0.62,2026-04-07,722,N20,VIIRS,n,2.0NRT,300.15,5.08,D,2026-04-07 07:22:00
17.64817,98.70297,334.49,0.43,0.62,2026-04-07,722,N20,VIIRS,n,2.0NRT,300.84,7.49,D,2026-04-07 07:22:00
17.66224,97.74653,367.0,0.37,0.58,2026-04-07,722,N20,VIIRS,h,2.0NRT,294.47,8.71,D,2026-04-07 07:22:00
17.67165,97.58019,337.29,0.36,0.58,2026-04-07,722,N20,VIIRS,n,2.0NRT,295.53,4.62,D,2026-04-07 07:22:00
17.672,97.58348,335.08,0.36,0.58,2026-04-07,722,N20,VIIRS,n,2.0NRT,295.35,3.87,D,2026-04-07 07:22:00
17.6802,98.03642,332.87,0.39,0.59,2026-04-07,722,N20,VIIRS,n,2.0NRT,288.17,3.21,D,2026-04-07 07:22:00
17.74613,98.02212,333.51,0.39,0.59,2026-04-07,722,N20,VIIRS,n,2.0NRT,302.22,4.62,D,2026-04-07 07:22:00
17.78294,97.5746,344.81,0.36,0.58,2026-04-07,722,N20,VIIRS,n,2.0NRT,299.08,5.71,D,2026-04-07 07:22:00
17.78326,97.57766,351.31,0.36,0.58,2026-04-07,722,N20,VIIRS,n,2.0NRT,297.84,5.71,D,2026-04-07 07:22:00
