latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime,cluster,coordinated_flag
17.5005,98.97648,343.24,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,306.24,4.95,D,2026-03-29 06:52:00,0,True
17.50058,98.39465,339.48,0.42,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,306.43,3.85,D,2026-03-29 06:52:00,0,True
17.50107,98.98066,337.35,0.44,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,306.44,4.9,D,2026-03-29 06:52:00,0,True
17.50234,98.96368,330.98,0.44,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,302.61,4.32,D,2026-03-29 06:52:00,0,True
17.50446,99.03171,336.19,0.44,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,307.9,3.4,D,2026-03-29 06:52:00,0,True
17.50452,99.00583,335.5,0.44,0.39,2026-03-29,652,N20,VIIRS,l,2.0NRT,307.86,7.13,D,2026-03-29 06:52:00,0,True
17.50501,99.03571,342.88,0.44,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,307.64,3.4,D,2026-03-29 06:52:00,0,True
17.50732,97.95502,346.34,0.41,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,308.03,7.24,D,2026-03-29 06:52:00,0,True
17.50872,98.98393,340.16,0.44,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,305.72,4.83,D,2026-03-29 06:52:00,0,True
17.5093,98.98815,338.99,0.44,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,307.01,8.02,D,2026-03-29 06:52:00,0,True
17.50954,98.38901,338.57,0.42,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,305.06,3.6,D,2026-03-29 06:52:00,0,True
17.50989,98.9924,347.59,0.44,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,307.55,8.02,D,2026-03-29 06:52:00,0,True
17.51227,98.9835,345.15,0.44,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,305.65,4.83,D,2026-03-29 06:52:00,0,True
17.51839,98.59367,335.89,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,304.83,5.37,D,2026-03-29 06:52:00,0,True
17.52057,98.91357,331.24,0.44,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,303.2,4.47,D,2026-03-29 06:52:00,0,True
17.52079,98.63541,330.61,0.43,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,303.13,3.08,D,2026-03-29 06:52:00,0,True
17.52111,98.96928,339.16,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,305.63,3.37,D,2026-03-29 06:52:00,0,True
17.52344,98.93419,342.28,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,303.33,3.51,D,2026-03-29 06:52:00,0,True
17.52407,98.96467,330.94,0.44,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,305.59,3.8,D,2026-03-29 06:52:00,0,True
17.52463,98.91694,330.54,0.44,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,302.77,2.3,D,2026-03-29 06:52:00,0,True
17.52484,98.63892,333.85,0.43,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,304.06,4.7,D,2026-03-29 06:52:00,0,True
17.52523,98.97303,334.61,0.44,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,305.22,3.37,D,2026-03-29 06:52:00,0,True
17.52673,98.58904,333.17,0.43,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,304.5,2.77,D,2026-03-29 06:52:00,0,True
17.52728,98.59303,330.09,0.43,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,304.04,2.53,D,2026-03-29 06:52:00,0,True
17.52755,98.93791,333.79,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,302.46,3.51,D,2026-03-29 06:52:00,0,True
17.52876,98.97256,333.65,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,305.9,3.64,D,2026-03-29 06:52:00,0,True
17.52889,98.59264,338.97,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,304.9,5.9,D,2026-03-29 06:52:00,0,True
17.52934,98.9767,341.57,0.44,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,306.2,2.97,D,2026-03-29 06:52:00,0,True
17.53053,98.90771,335.65,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,304.35,5.42,D,2026-03-29 06:52:00,0,True
17.53077,98.59266,332.94,0.43,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,303.44,2.53,D,2026-03-29 06:52:00,0,True
17.53178,97.93214,333.42,0.41,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,307.15,3.1,D,2026-03-29 06:52:00,0,True
17.53229,98.97203,346.11,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,306.66,3.64,D,2026-03-29 06:52:00,0,True
17.53288,98.97624,333.65,0.44,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,304.95,2.97,D,2026-03-29 06:52:00,0,True
17.53818,98.96259,334.81,0.44,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,305.63,3.88,D,2026-03-29 06:52:00,0,True
17.54692,97.90971,334.22,0.41,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,305.77,6.03,D,2026-03-29 06:52:00,0,True
17.55015,97.50162,333.73,0.4,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,305.03,9.37,D,2026-03-29 06:52:00,0,True
17.5515,98.61435,336.49,0.43,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,308.79,4.66,D,2026-03-29 06:52:00,0,True
17.55574,98.93382,334.69,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,303.59,1.97,D,2026-03-29 06:52:00,0,True
17.55926,98.93326,337.22,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,304.85,3.05,D,2026-03-29 06:52:00,0,True
17.55941,98.49353,331.65,0.42,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,304.7,2.76,D,2026-03-29 06:52:00,0,True
17.55955,98.62119,336.7,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,304.33,4.15,D,2026-03-29 06:52:00,0,True
17.56261,98.44109,337.26,0.42,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,301.78,4.78,D,2026-03-29 06:52:00,0,True
17.56278,98.93274,335.55,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,303.77,3.05,D,2026-03-29 06:52:00,0,True
17.56663,98.44457,349.02,0.42,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,300.75,4.78,D,2026-03-29 06:52:00,0,True
17.56833,98.58241,332.17,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,303.32,1.77,D,2026-03-29 06:52:00,0,True
17.56927,98.9277,332.58,0.44,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,303.03,5.35,D,2026-03-29 06:52:00,0,True
17.56956,98.44034,334.9,0.42,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,305.62,4.81,D,2026-03-29 06:52:00,0,True
17.5701,98.44418,349.91,0.42,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,302.87,4.81,D,2026-03-29 06:52:00,0,True
17.57355,98.44368,338.19,0.42,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,304.88,4.81,D,2026-03-29 06:52:00,0,True
17.57596,98.4357,333.72,0.42,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,306.44,3.05,D,2026-03-29 06:52:00,0,True
17.57739,98.80166,340.73,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,304.61,4.42,D,2026-03-29 06:52:00,0,True
17.57836,97.71926,317.51,0.4,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,322.42,61.91,D,2026-03-29 06:52:00,0,True
17.5787,98.94353,330.34,0.44,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,304.49,3.84,D,2026-03-29 06:52:00,0,True
17.57889,97.72292,337.86,0.4,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,306.46,46.66,D,2026-03-29 06:52:00,0,True
17.57954,98.94832,330.83,0.44,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,304.58,4.12,D,2026-03-29 06:52:00,0,True
17.58102,97.73772,367.0,0.4,0.37,2026-03-29,652,N20,VIIRS,h,2.0NRT,333.81,133.27,D,2026-03-29 06:52:00,0,True
17.58148,98.80535,334.42,0.44,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,305.58,4.42,D,2026-03-29 06:52:00,0,True
17.58158,97.74153,336.96,0.4,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,302.03,133.27,D,2026-03-29 06:52:00,0,True
17.58225,97.72233,349.82,0.4,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,316.67,45.61,D,2026-03-29 06:52:00,0,True
17.58249,98.9435,337.89,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,305.27,3.52,D,2026-03-29 06:52:00,0,True
17.58278,97.72597,335.67,0.4,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,308.43,45.61,D,2026-03-29 06:52:00,0,True
17.58498,98.44965,336.53,0.42,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,306.01,3.29,D,2026-03-29 06:52:00,0,True
17.58659,98.9472,335.77,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,304.85,3.52,D,2026-03-29 06:52:00,0,True
17.58844,98.44921,333.81,0.42,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,304.14,3.29,D,2026-03-29 06:52:00,0,True
17.5901,98.94656,337.34,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,302.16,2.56,D,2026-03-29 06:52:00,0,True
17.59174,99.3769,334.39,0.46,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,304.13,7.04,D,2026-03-29 06:52:00,0,True
17.59191,98.44881,347.19,0.42,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,306.9,6.04,D,2026-03-29 06:52:00,0,True
17.59534,98.9586,330.82,0.44,0.39,2026-03-29,652,N20,VIIRS,l,2.0NRT,305.35,1.98,D,2026-03-29 06:52:00,0,True
17.5967,99.27987,330.25,0.46,0.39,2026-03-29,652,N20,VIIRS,l,2.0NRT,304.64,3.07,D,2026-03-29 06:52:00,0,True
17.5977,98.94952,331.37,0.44,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,304.71,3.31,D,2026-03-29 06:52:00,0,True
17.5993,99.24582,332.55,0.45,0.39,2026-03-29,652,N20,VIIRS,l,2.0NRT,306.23,2.29,D,2026-03-29 06:52:00,0,True
17.6003,99.27951,345.31,0.46,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,307.7,13.29,D,2026-03-29 06:52:00,0,True
17.60086,99.28352,338.04,0.46,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,307.59,11.26,D,2026-03-29 06:52:00,0,True
17.60446,99.28314,333.87,0.46,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,303.3,11.26,D,2026-03-29 06:52:00,0,True
17.61363,98.93448,331.26,0.44,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,305.94,2.78,D,2026-03-29 06:52:00,0,True
17.61399,99.37852,333.35,0.46,0.39,2026-03-29,652,N20,VIIRS,l,2.0NRT,305.21,2.3,D,2026-03-29 06:52:00,0,True
17.62341,97.79202,337.17,0.4,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,309.01,3.01,D,2026-03-29 06:52:00,0,True
17.62913,98.83915,351.78,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,307.43,8.7,D,2026-03-29 06:52:00,0,True
17.63401,97.54543,338.44,0.4,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,310.66,4.78,D,2026-03-29 06:52:00,0,True
17.63455,97.54917,351.56,0.4,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,309.89,4.78,D,2026-03-29 06:52:00,0,True
17.63685,99.31837,345.55,0.46,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,305.85,5.88,D,2026-03-29 06:52:00,0,True
17.63802,97.52571,343.32,0.4,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,310.16,7.38,D,2026-03-29 06:52:00,0,True
17.6399,99.31383,334.85,0.46,0.39,2026-03-29,652,N20,VIIRS,l,2.0NRT,306.44,6.04,D,2026-03-29 06:52:00,0,True
17.64138,97.52518,343.53,0.4,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,309.25,8.45,D,2026-03-29 06:52:00,0,True
17.64319,97.80086,367.0,0.4,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,327.07,65.44,D,2026-03-29 06:52:00,0,True
17.64657,97.80033,347.82,0.4,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,310.62,37.82,D,2026-03-29 06:52:00,0,True
17.64822,97.81191,346.74,0.4,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,308.9,4.8,D,2026-03-29 06:52:00,0,True
17.6492,98.43639,333.52,0.42,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,306.47,1.99,D,2026-03-29 06:52:00,0,True
17.65104,97.80742,347.89,0.4,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,309.97,6.05,D,2026-03-29 06:52:00,0,True
17.65162,97.81149,340.58,0.4,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,305.73,4.8,D,2026-03-29 06:52:00,0,True
17.65263,97.5081,337.19,0.4,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,309.07,1.61,D,2026-03-29 06:52:00,0,True
17.65274,99.27357,333.9,0.46,0.39,2026-03-29,652,N20,VIIRS,l,2.0NRT,307.65,2.72,D,2026-03-29 06:52:00,0,True
